
Printing workout in 20040912T072607.01259.srd [loaded in 0.000439 seconds]:

Workout date:            2004-09-12 07:26:07 (Sun, 12 Sep 2004)
HRM Type:                S610
User ID:                 1
Exercise:                2 (TB2    )
Mode:                    HR
Exercise duration:       1:36:50.8
Recording interval:      5 seconds
Average heart rate:      158 bpm
Maximum heart rate:      176 bpm
HR Limit 1:              143 to 162
	Time below:      0:02:11
	Time within:     1:17:34
	Time above:      0:17:05
HR Limit 2:              80 to 160
	Time below:      0:00:00
	Time within:     0:00:00
	Time above:      0:00:00
HR Limit 3:              80 to 160
	Time below:      0:00:00
	Time within:     0:00:00
	Time above:      0:00:00
Energy:                  1214
Total energy:            22552
Cumulative exercise:     25:58
Laps:                    3


Lap 1:
	Lap split:          0:50:17.2
	Lap cumulative:     0:50:17.2
	Lap HR:             165 bpm
	Average HR:         157 bpm
	Maximum HR:         176 bpm

Lap 2:
	Lap split:          0:01:52.5
	Lap cumulative:     0:52:09.7
	Lap HR:             121 bpm
	Average HR:         142 bpm
	Maximum HR:         165 bpm

Lap 3:
	Lap split:          0:44:41.1
	Lap cumulative:     1:36:50.8
	Lap HR:             159 bpm
	Average HR:         160 bpm
	Maximum HR:         171 bpm


Recorded data:

Time		 HR
0:00:00		109
0:00:05		122
0:00:10		122
0:00:15		139
0:00:20		146
0:00:25		147
0:00:30		149
0:00:35		149
0:00:40		150
0:00:45		151
0:00:50		152
0:00:55		153
0:01:00		155
0:01:05		158
0:01:10		157
0:01:15		157
0:01:20		158
0:01:25		158
0:01:30		159
0:01:35		160
0:01:40		161
0:01:45		161
0:01:50		158
0:01:55		159
0:02:00		160
0:02:05		160
0:02:10		159
0:02:15		160
0:02:20		159
0:02:25		159
0:02:30		158
0:02:35		158
0:02:40		159
0:02:45		160
0:02:50		159
0:02:55		156
0:03:00		160
0:03:05		162
0:03:10		162
0:03:15		162
0:03:20		162
0:03:25		161
0:03:30		161
0:03:35		156
0:03:40		155
0:03:45		154
0:03:50		154
0:03:55		154
0:04:00		153
0:04:05		154
0:04:10		153
0:04:15		153
0:04:20		154
0:04:25		154
0:04:30		157
0:04:35		159
0:04:40		158
0:04:45		158
0:04:50		157
0:04:55		154
0:05:00		156
0:05:05		158
0:05:10		158
0:05:15		156
0:05:20		156
0:05:25		156
0:05:30		157
0:05:35		157
0:05:40		158
0:05:45		157
0:05:50		158
0:05:55		160
0:06:00		159
0:06:05		159
0:06:10		157
0:06:15		158
0:06:20		159
0:06:25		160
0:06:30		160
0:06:35		160
0:06:40		159
0:06:45		158
0:06:50		158
0:06:55		158
0:07:00		158
0:07:05		158
0:07:10		160
0:07:15		158
0:07:20		154
0:07:25		158
0:07:30		159
0:07:35		161
0:07:40		160
0:07:45		162
0:07:50		161
0:07:55		163
0:08:00		162
0:08:05		162
0:08:10		163
0:08:15		163
0:08:20		162
0:08:25		159
0:08:30		161
0:08:35		158
0:08:40		156
0:08:45		157
0:08:50		160
0:08:55		160
0:09:00		157
0:09:05		152
0:09:10		149
0:09:15		149
0:09:20		149
0:09:25		150
0:09:30		147
0:09:35		147
