
Printing workout in running-metric.srd [loaded in 0.016051 seconds]:

Workout date:            Wed, 25 Dec 2002 10:21:04
User ID:                 0
Exercise:                2 (ExeSet2)
Mode:                    HR, Altitude
Exercise duration:       0:42:24.7
Recording interval:      15 seconds
Average heart rate:      148 bpm
Maximum heart rate:      159 bpm
Minumum temperature:     -110 F
Average temperature:     -107 F
Maximum temperature:     -101 F
Minimum altitude:        86 ft
Average altitude:        93 ft
Maximum altitude:        101 ft
Ascent:                  20 ft
HR Limit 1:              130 to 150
	Time below:      0:00:54
	Time within:     0:30:36
	Time above:      0:10:54
HR Limit 2:              80 to 160
	Time below:      0:00:04
	Time within:     0:42:20
	Time above:      0:00:00
HR Limit 3:              80 to 160
	Time below:      0:00:04
	Time within:     0:42:20
	Time above:      0:00:00
Energy:                  3990
Total energy:            30058
Cumulative exercise:     72:07
Laps:                    1


Lap 1:
	Lap split:          0:42:24.7
	Lap HR:             146 bpm
	Average HR:         148 bpm
	Maximum HR:         159 bpm
	Lap altitude:       440 ft
	Lap ascent:         20 ft
	Lap temperature:    43 F


Recorded data:

Time		 HR	 Alt
0:00:00		  0	 455
0:00:15		105	 445
0:00:30		122	 440
0:00:45		125	 435
0:01:00		133	 435
0:01:15		139	 440
0:01:30		143	 440
0:01:45		145	 440
0:02:00		147	 450
0:02:15		144	 450
0:02:30		145	 455
0:02:45		148	 445
0:03:00		150	 450
0:03:15		154	 460
0:03:30		157	 460
0:03:45		156	 465
0:04:00		155	 460
0:04:15		150	 460
0:04:30		150	 465
0:04:45		153	 465
0:05:00		153	 465
0:05:15		152	 465
0:05:30		151	 470
0:05:45		151	 470
0:06:00		150	 465
0:06:15		146	 465
0:06:30		147	 465
0:06:45		148	 465
0:07:00		150	 470
0:07:15		150	 475
0:07:30		152	 470
0:07:45		157	 470
0:08:00		158	 470
0:08:15		156	 470
0:08:30		153	 470
0:08:45		150	 470
0:09:00		151	 480
0:09:15		153	 480
0:09:30		151	 480
0:09:45		150	 485
0:10:00		150	 490
0:10:15		150	 475
0:10:30		148	 465
0:10:45		148	 465
0:11:00		149	 460
0:11:15		150	 460
0:11:30		149	 465
0:11:45		149	 465
0:12:00		150	 460
0:12:15		150	 470
0:12:30		150	 470
0:12:45		150	 465
0:13:00		151	 465
0:13:15		152	 465
0:13:30		152	 470
0:13:45		150	 470
0:14:00		150	 470
0:14:15		151	 470
0:14:30		153	 470
0:14:45		151	 480
0:15:00		149	 480
0:15:15		149	 485
0:15:30		152	 475
0:15:45		154	 470
0:16:00		153	 475
0:16:15		152	 475
0:16:30		154	 485
0:16:45		151	 485
0:17:00		154	 485
0:17:15		154	 490
0:17:30		153	 495
0:17:45		153	 500
0:18:00		151	 500
0:18:15		152	 505
0:18:30		153	 500
0:18:45		152	 500
0:19:00		151	 500
0:19:15		149	 495
0:19:30		149	 490
0:19:45		150	 490
0:20:00		150	 485
0:20:15		151	 490
0:20:30		148	 485
0:20:45		144	 480
0:21:00		144	 485
0:21:15		143	 485
0:21:30		143	 480
0:21:45		145	 480
0:22:00		145	 480
0:22:15		148	 480
0:22:30		147	 485
0:22:45		147	 475
0:23:00		150	 480
0:23:15		150	 475
0:23:30		149	 485
0:23:45		150	 485
0:24:00		150	 485
0:24:15		150	 485
0:24:30		144	 480
0:24:45		146	 490
0:25:00		149	 490
0:25:15		149	 485
0:25:30		148	 485
0:25:45		147	 480
0:26:00		145	 475
0:26:15		142	 470
0:26:30		145	 470
0:26:45		148	 470
0:27:00		147	 470
0:27:15		145	 470
0:27:30		147	 475
0:27:45		147	 480
0:28:00		146	 485
0:28:15		146	 485
0:28:30		147	 470
0:28:45		146	 470
0:29:00		147	 475
0:29:15		150	 475
0:29:30		150	 475
0:29:45		147	 470
0:30:00		148	 475
0:30:15		149	 470
0:30:30		149	 470
0:30:45		150	 470
0:31:00		153	 475
0:31:15		153	 480
0:31:30		148	 470
0:31:45		143	 470
0:32:00		143	 475
0:32:15		141	 460
0:32:30		142	 460
0:32:45		142	 455
0:33:00		142	 455
0:33:15		148	 455
0:33:30		148	 455
0:33:45		147	 460
0:34:00		147	 465
0:34:15		147	 460
0:34:30		146	 470
0:34:45		147	 470
0:35:00		148	 470
0:35:15		147	 470
0:35:30		147	 470
0:35:45		149	 465
0:36:00		149	 465
0:36:15		149	 460
0:36:30		149	 455
0:36:45		145	 450
0:37:00		145	 440
0:37:15		143	 445
0:37:30		142	 445
0:37:45		140	 440
0:38:00		142	 445
0:38:15		144	 445
0:38:30		148	 445
0:38:45		147	 445
0:39:00		145	 445
0:39:15		147	 450
0:39:30		149	 445
0:39:45		145	 445
0:40:00		142	 435
0:40:15		140	 435
0:40:30		142	 430
0:40:45		145	 440
0:41:00		144	 440
0:41:15		146	 440
0:41:30		149	 445
0:41:45		148	 440
0:42:00		147	 440
0:42:15		147	 440
